PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),TotalGHGEmissions,pct_electricity,pct_steam
Other,47.66838,-122.3931,1946,2,111445,6076957.0,163.83,0.4949046043932843,0.0
Warehouse,47.56885,-122.37121,1997,4,98475,1178591.625,22.44,0.6524711220478934,0.0
Retail,47.7237,-122.29232,1995,2,121087,14843382.0,277.98,0.7195682223902882,0.0
Retail,47.56895,-122.33775,2008,1,63225,6522551.5,45.47,0.999999923342882,0.0
Other,47.56548,-122.35378,1955,1,113780,4021869.0,121.98,0.36572175772010473,0.0
Warehouse,47.56419,-122.34262,1999,1,243044,1396082.25,41.8,0.5021029384192801,0.0
Other,47.64942,-122.35024,2001,3,123940,11521702.0,80.32,0.9999999132072674,0.0
Other,47.63549,-122.34103,1952,3,53464,6876439.5,47.94,0.9999997818638555,0.0
Retail,47.72053,-122.34739,1997,1,131387,8949319.0,110.46,0.8609050588095027,0.0
Warehouse,47.72377,-122.34095,1999,3,94400,800622.875,10.24,0.8504191189890746,0.0
Retail,47.72803,-122.34214,1984,1,144776,13827966.0,237.39,0.745394875862437,0.0
Retail,47.7235,-122.34458,1997,1,50083,8901074.0,158.92,0.7334384592241341,0.0
Office,47.65086,-122.35412,1988,3,95426,4991360.5,34.9,0.9995693558900424,0.0
Office,47.64963,-122.35158,2000,4,53472,3897738.0,27.17,0.9999997434409393,0.0
Office,47.64849,-122.35041,2001,3,62332,5413418.0,37.74,0.9999998152738252,0.0
Office,47.64822,-122.34848,1999,3,166128,11325513.0,94.47,0.9700711128935174,0.0
Office,47.64882,-122.34905,1999,4,140302,8651835.0,85.01,0.9381428332833439,0.0
Office,47.55146,-122.32832,1982,5,268920,7683885.0,53.57,0.9999998698575004,0.0
Warehouse,47.54983,-122.32858,1967,2,90000,1468317.375,17.17,0.8669256535903894,0.0
Retail,47.55032,-122.32614,1966,1,50200,1193084.5,32.22,0.425335338779441,0.0
Office,47.66891,-122.38528,1925,6,87833,5055586.0,120.24,0.5678967779402823,0.0
Warehouse,47.66724,-122.38553,1941,2,63240,272913.6875,8.15,0.3129524238318021,0.0
Other,47.66233,-122.3748,2008,5,140415,17628306.0,413.35,0.6074381735828729,0.0
Other,47.64676,-122.37581,1988,4,106893,465533.3125,3.25,0.9999993287268781,0.0
Warehouse,47.65567,-122.37478,1997,4,106041,1254908.5,25.58,0.589160883044461,0.0
Other,47.63634,-122.3754,1956,3,94470,1187738.375,33.18,0.3644396856336312,0.0
Office,47.59963,-122.32796,2002,10,143508,7783714.5,53.25,0.9812776406431659,0.0
Warehouse,47.54769,-122.3251,1966,1,22780,402051.3125,2.8,0.9999992227360283,0.0
Warehouse,47.54187,-122.32714,1967,1,124472,6345882.5,237.36,0.18058276370544207,0.0
Warehouse,47.54187,-122.32714,1967,1,50065,1751500.375,42.65,0.4774540799056352,0.0
Warehouse,47.54621,-122.33486,1969,1,57540,2808274.75,76.68,0.46682789851669604,0.0
Warehouse,47.54853,-122.32814,1966,1,85400,1536998.25,10.72,0.999999837345293,0.0
Warehouse,47.54912,-122.32819,1966,1,55700,528115.6875,3.62,0.9842654030230829,0.0
Office,47.54965,-122.3278,1964,1,53250,1760992.25,46.93,0.5952172702633983,0.0
Office,47.62476,-122.34843,1987,6,50245,2220030.5,28.63,0.8506648895139053,0.0
Warehouse,47.71286,-122.34422,1986,3,64660,333622.5938,6.32,0.7128204276913095,0.0
Other,47.61552,-122.31744,1927,2,55916,3774978.5,38.48,0.9024822260577113,0.0
Warehouse,47.5701,-122.33342,1968,1,161678,10093972.0,204.81,0.6273052867592658,0.0
Warehouse,47.57023,-122.33241,1980,1,52613,1231121.75,32.02,0.4287731899789765,0.0
Other,47.56785,-122.33361,1940,1,56608,5246590.0,74.31,0.8106720746237079,0.0
Retail,47.69267,-122.35506,2003,1,50734,15076756.0,414.43,0.5277290419769346,0.0
Retail,47.73315,-122.3105,1980,1,58480,11311432.0,272.54,0.602732792806428,0.0
Office,47.62029,-122.33078,2005,6,211900,9200102.0,54.92,0.8562288765928899,0.0
Retail,47.62,-122.33027,1996,4,104014,10443463.0,190.61,0.6997588826618144,0.0
Office,47.59367,-122.30957,1914,2,62220,5444253.5,38.55,0.9976438459377397,0.0
Office,47.59388,-122.31124,1970,1,65430,3586460.5,90.24,0.4756201831861804,0.0
Office,47.66517,-122.30186,2006,3,59850,6114351.5,49.17,0.9670979825088564,0.0
Other,47.6144,-122.30982,1926,3,80004,12232124.0,85.28,0.9999998364960984,0.0
Warehouse,47.56407,-122.32765,1991,2,323916,8767252.0,262.45,0.40469750384727166,0.0
Office,47.64037,-122.32626,1978,4,54175,4910799.5,33.85,0.9886447206814287,0.0
Warehouse,47.53687,-122.33316,1989,2,98024,2109093.75,42.25,0.6510080455171801,0.0
Other,47.62405,-122.33084,1928,1,50000,2758081.75,63.89,0.5846625104567694,0.0
Office,47.62488,-122.33007,1990,5,77953,5318277.0,35.8,0.965545608098262,0.0
Retail,47.70759,-122.3255,1950,2,302812,7783388.0,129.29,0.7182334993450153,0.0
Office,47.70744,-122.33171,1974,5,86400,9266020.0,293.55,0.4413631742646789,0.0
Other,47.7094,-122.31843,1969,2,98539,5502264.5,46.49,0.9571211998259989,0.0
Office,47.70732,-122.33279,1981,6,86483,6636482.5,44.35,0.9585252428526708,0.0
Warehouse,47.53926,-122.34143,1976,1,51600,1196293.25,22.1,0.6816957297050702,0.0
Warehouse,47.53689,-122.33847,1968,1,140520,2502923.5,57.73,0.5235973053111691,0.0
Office,47.63116,-122.34193,1986,5,91649,4636396.5,58.88,0.8758269487952551,0.0
Other,47.70887,-122.33494,2005,3,69854,7063953.5,49.28,0.9835294074345194,0.0
Office,47.7126,-122.33782,2005,3,63909,4765753.5,33.22,0.9999998950847961,0.0
Warehouse,47.69814,-122.34295,1948,2,53472,1065308.875,34.0,0.35766622145150156,0.0
Warehouse,47.52696,-122.32913,1980,1,50417,2149815.75,58.67,0.3977164089527207,0.0
Office,47.70449,-122.33272,1961,3,133298,16041286.0,295.48,0.7231453887175878,0.0
Retail,47.70759,-122.3255,1965,2,168619,6718441.0,91.1,0.8122244431409013,0.0
Office,47.6244,-122.33157,2000,4,104500,6486377.5,45.22,0.9999999229153714,0.0
Warehouse,47.56089,-122.33474,1969,2,104786,1153253.75,23.86,0.5781190826390116,0.0
Other,47.55787,-122.335,2000,1,11440,1901429.125,49.9,0.5027623630199732,0.0
Other,47.55741,-122.33163,1973,1,110689,2789899.0,107.83,0.12772075261505883,0.0
Office,47.5563,-122.33186,1948,1,53620,2145554.75,22.12,0.8811632516019459,0.0
Office,47.55623,-122.33316,1938,1,50008,3380481.5,65.3,0.6717495717695837,0.0
Office,47.6252,-122.36737,2009,4,191000,6657348.5,49.74,0.9891504102571768,0.0
Warehouse,47.56549,-122.33221,1957,1,50832,2551022.25,107.16,0.24068429822593668,0.0
Other,47.56158,-122.32754,1971,1,76354,2792753.5,20.29,1.0143838330164119,0.0
Warehouse,47.56558,-122.32889,1956,1,98480,2898646.0,39.5,0.8291274615803379,0.0
Other,47.66113,-122.33572,1904,2,53002,3591767.75,64.0,0.7167866018063112,0.0
Other,47.63108,-122.32746,1920,3,106003,19419744.0,406.02,0.6822779435197498,0.0
Office,47.63,-122.3396,1971,11,124721,14339818.0,365.79,0.5627672540892779,0.0
Office,47.63376,-122.33968,1970,7,94002,5662234.0,39.47,1.0,0.0
Warehouse,47.55515,-122.3275,1974,1,93020,1252323.875,8.73,1.000000099814435,0.0
Other,47.6153,-122.35014,1946,1,23000,845892.1875,25.74,0.3081231909356061,0.0
Retail,47.52095,-122.26825,2002,1,61053,13564414.0,306.5,0.6247703734197437,0.0
Office,47.59895,-122.33379,1904,5,78920,2830674.75,19.73,0.9999997350455047,0.0
Office,47.59855,-122.33327,1906,7,99440,6669621.5,134.69,0.7025662550715959,0.0
Office,47.59856,-122.33379,1907,6,73260,3020795.0,19.89,0.9445159304090479,0.0
Office,47.59979,-122.3338,1900,4,69817,2380143.75,76.8,0.5231293277979534,0.3239658056367394
Office,47.60035,-122.33379,1900,4,84750,2165173.25,26.04,0.8529765458722529,0.0
Office,47.60146,-122.33248,1900,6,62176,3740114.25,24.89,0.954559610043998,0.0
Office,47.59962,-122.33247,1900,4,164380,7778893.0,130.31,0.7966061494868228,0.05136184705201627
Office,47.59858,-122.33198,1907,7,160580,4501784.0,99.59,0.6695303461916431,0.07712673604508789
Other,47.59871,-122.3299,1906,3,67755,2031594.375,13.28,0.9374312231987746,0.0
Other,47.59334,-122.32905,1910,3,56700,2462293.5,31.58,0.8306954471512027,0.0
Warehouse,47.59366,-122.32666,1922,1,82852,2472120.0,65.56,0.4279990453537854,0.0
Other,47.57941,-122.33131,1953,2,76442,4608482.0,132.6,0.37005742888873167,0.0
Warehouse,47.57658,-122.33054,1962,2,92792,3471977.25,74.18,0.5831181641527173,0.0
Other,47.58444,-122.33282,1941,2,125519,2244317.0,15.65,1.0,0.0
Office,47.58361,-122.33369,1900,4,103200,4374646.0,30.5,0.9999997714100752,0.0
Warehouse,47.58781,-122.33264,1954,1,78814,911161.3125,16.48,0.6970522028172701,0.0
Office,47.59486,-122.33368,1904,4,58970,1916863.375,41.18,0.6011774313336233,0.0
Warehouse,47.59403,-122.33367,1910,6,64800,2688675.75,18.74,0.999999721052269,0.0
Warehouse,47.59363,-122.33371,1907,4,56270,1056782.125,7.37,0.9999998817163944,0.0
Office,47.59701,-122.33378,1904,4,66842,5550151.0,138.35,0.6229632310904695,0.0
Office,47.59639,-122.33368,1909,6,64488,2972492.75,20.18,0.9726614135560129,0.0
Office,47.59806,-122.33475,1904,7,184322,9722890.0,67.78,0.9999998971499214,0.0
Office,47.59202,-122.33486,1914,2,64512,6114759.5,180.76,0.48278906145041356,0.0
