PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,pct_electricity,pct_steam,has_parking
Office,47.62269,-122.33224,1982,4,60960,73096,4695139.0,32.73,0.9999997870137604,0.0,True
Retail,47.5653,-122.33076,2005,1,0,158415,22394416.0,454.49,0.7112323893599191,0.0,False
Office,47.62003,-122.35706,1985,4,28800,58195,2991674.75,20.86,0.9999997493042986,0.0,True
Retail,47.66057,-122.36857,1999,1,0,164437,18390344.0,326.18,0.766679459612066,0.0,False
Office,47.62402,-122.33755,2009,5,66234,118248,5671256.0,40.47,0.9964388840849364,0.0,True
Other,47.62348,-122.33743,1928,3,0,55200,11594121.0,269.71,0.6469121721258558,0.0,False
Office,47.62286,-122.33804,2004,6,52582,86700,3238216.0,22.57,1.0,0.0,True
Office,47.62383,-122.3356,2009,5,98700,172371,7851334.5,61.93,0.980123824809655,0.0,True
Warehouse,47.62572,-122.33389,1914,5,0,127800,2767491.0,29.53,0.9198187094375375,0.0,False
Office,47.62621,-122.33128,2001,6,95000,131592,11963428.0,94.64,0.9796363550647857,0.0,True
Office,47.62137,-122.33744,2006,4,73673,136143,6917478.5,122.68,0.7667253320700599,0.0,True
Office,47.62131,-122.33814,2006,6,109905,193198,7519466.5,69.59,0.9505271417859232,0.0,True
Other,47.62002,-122.33687,1954,3,0,67380,2755829.0,74.1,0.5683302556145537,0.0,False
Office,47.62115,-122.3597,1974,5,20826,67236,3415561.25,23.81,0.9999999268055872,0.0,True
Office,47.62224,-122.3585,1972,5,20416,66762,3632613.75,25.32,1.0000000688209694,0.0,True
Office,47.62224,-122.3585,1970,5,20416,66762,3493093.75,24.35,0.9999997852906181,0.0,True
Office,47.62014,-122.35768,1971,5,21600,66400,3484915.5,24.29,0.9999998565244982,0.0,True
Office,47.65821,-122.31831,1988,4,88405,108344,19165116.0,477.87,0.610669249275611,0.0,True
Office,47.65884,-122.3183,1994,4,95281,95995,8422861.0,77.99,0.9504244460403656,0.0,True
Other,47.66838,-122.3931,1946,2,0,111445,5697472.5,163.83,0.5278681029175656,0.0,False
Warehouse,47.56885,-122.37121,1997,4,0,98475,1090496.625,22.44,0.7051805410218487,0.0,False
Retail,47.7237,-122.29232,1995,2,187878,121087,14512786.0,277.98,0.7359597254448594,0.0,True
Retail,47.56895,-122.33775,2008,1,0,63225,6522551.5,45.47,0.999999923342882,0.0,False
Other,47.56548,-122.35378,1955,1,0,113780,3574542.25,121.98,0.4114890515002306,0.0,False
Warehouse,47.56419,-122.34262,1999,1,0,243044,1396082.25,41.8,0.5021029384192801,0.0,False
Other,47.64942,-122.35024,2001,3,156312,123940,11521702.0,80.32,0.9999999132072674,0.0,True
Other,47.63549,-122.34103,1952,3,12998,53464,6876439.5,47.94,0.9999997818638555,0.0,True
Retail,47.72053,-122.34739,1997,1,0,131387,8773058.0,110.46,0.8782016487295536,0.0,False
Warehouse,47.72377,-122.34095,1999,3,0,94400,784364.5,10.24,0.8680466798280646,0.0,False
Retail,47.72803,-122.34214,1984,1,0,144776,13424079.0,237.39,0.76782139020487,0.0,False
Retail,47.7235,-122.34458,1997,1,0,50083,8663691.0,158.92,0.7535344924005254,0.0,False
Office,47.65086,-122.35412,1988,3,28645,95426,4991360.5,34.9,0.9995693558900424,0.0,True
Office,47.64963,-122.35158,2000,4,36528,53472,3897738.0,27.17,0.9999997434409393,0.0,True
Office,47.64849,-122.35041,2001,3,33709,62332,5413418.0,37.74,0.9999998152738252,0.0,True
Office,47.64822,-122.34848,1999,3,114829,166128,11325513.0,94.47,0.9700711128935174,0.0,True
Office,47.64882,-122.34905,1999,4,103032,140302,8651835.0,85.01,0.9381428332833439,0.0,True
Office,47.55146,-122.32832,1982,5,121375,268920,7683885.0,53.57,0.9999998698575004,0.0,True
Warehouse,47.54983,-122.32858,1967,2,0,90000,1429146.375,17.17,0.890686931910666,0.0,False
Retail,47.55032,-122.32614,1966,1,0,50200,1047461.0,32.22,0.48446767946491565,0.0,False
Office,47.66891,-122.38528,1925,6,6200,87833,4758198.0,120.24,0.6033904011560679,0.0,True
Warehouse,47.66724,-122.38553,1941,2,0,63240,227566.7031,8.15,0.3753141335552442,0.0,False
Other,47.66233,-122.3748,2008,5,182454,140415,17085344.0,413.35,0.6267421949479038,0.0,True
Other,47.64676,-122.37581,1988,4,23400,106893,465533.3125,3.25,0.9999993287268781,0.0,True
Warehouse,47.65567,-122.37478,1997,4,0,106041,1123943.0,25.58,0.6578118285357888,0.0,False
Other,47.63634,-122.3754,1956,3,0,94470,1000796.875,33.18,0.43251434013520473,0.0,False
Office,47.59963,-122.32796,2002,10,38186,143508,7637986.0,53.25,0.9999998690754343,0.0,True
Warehouse,47.54769,-122.3251,1966,1,0,22780,402051.3125,2.8,0.9999992227360283,0.0,False
